* S              BETX           BETY           DX             NAME            
$ %e             %e             %e             %e             %16s            
@ XIY              %e   -.118682    
@ XIX              %e   0.433549E-01
@ QY               %e    2.97407    
@ QX               %e    2.33312    
@ CIRCUM           %le     19.7857999207    
@ DELTA            %e    0.00000    
@ TYPE             %08s "OPTICS"
@ COMMENT          %04s " "
@ ORIGIN           %28s "MAD 8.23dl  Windows NT 4.0"
@ DATE             %08s "09/04/18"
@ TIME             %08s "15.17.50"
     10.9475        43.1390        116.213        0.00000     "ID1SYX01_1"    
     10.9975        43.4681        117.497        0.00000     "LA_PIP99_LA1013
     11.1219        44.2928        120.724        0.00000     "LA_PIP99_1_4"  
     11.1219        44.2928        120.724        0.00000     "LA_MAR_END_1"  
     11.1219        44.2928        120.724        0.00000     "LA_MATCH1"     
     11.1219        44.2928        120.724        0.00000     "LA_DEMER_MA1014
     11.1919        44.7606        122.559        0.00000     "MD1DIP01_1"    
     11.1919        44.7606        122.559        0.00000     "LA_DEMER_MA1015
     11.1919        44.7606        122.559        0.00000     "LA_DEMER_MA1016
     11.1919        44.7606        122.559        0.00000     "S1_DEMER_MAR_BE
     11.6569        47.9359        135.101        0.00000     "S1_PIP01"      
     11.6652        47.9933        135.328        0.00000     "DRIFT_MS1DPB01_
     11.8880        39.0953        141.562       0.524696E-01 "MS1DPB01"      
     11.8963        38.4340        141.795       0.562758E-01 "DRIFT_MS1DPB01_
     11.8963        38.4340        141.795       0.562758E-01 "S1_MAR_BEG"    
     12.1916        18.4618        150.280       0.192657     "S1_PIP02_1"    
     12.3487        10.7906        154.895       0.265208     "S1_PIP02_MS1017
     12.3831        9.38256        155.916       0.281117     "S1_PIP02_2"    
     12.4771        6.04240        158.720       0.324528     "S1_PIP02_MS1018
     12.4951        5.48656        159.259       0.332840     "S1_PIP02_3"    
     12.4951        5.48656        159.259       0.332840     "COLLIMATOR_N46"
     12.6951       0.999591        175.784       0.413846     "S1_PIP02_MS1019
     12.6951       0.999591        175.784       0.413846     "COLLIMATOR_N46"
     12.8666       0.629235E-01    200.365       0.472827     "S1_PIP02_4"    
     12.8666       0.629235E-01    200.365       0.472827     "IS1SCR01"      
     12.9603       0.757859        214.472       0.505045     "S1_PIP02_5"    
     12.9603       0.757859        214.472       0.505045     "IS1BPM01"      
     12.9951        1.23466        219.849       0.517046     "S1_PIP02_6"    
     13.2158        6.85643        232.373       0.557334     "MS1DIP02"      
     13.2158        6.85643        232.373       0.557334     "COLLIMATOR_N47"
     13.4658        19.0067        220.725       0.564164     "S1_PIP03_1"    
     13.4658        19.0067        220.725       0.564164     "COLLIMATOR_N47"
     13.4658        19.0067        220.725       0.564164     "COLLIMATOR_N48"
     13.6658        46.7678        131.235       0.697140     "S1_PIP03_MS1020
     13.6658        46.7678        131.235       0.697140     "COLLIMATOR_N48"
     13.6658        46.7678        131.235       0.697140     "COLLIMATOR_N49"
     13.6688        47.5388        129.098       0.701191     "S1_PIP03_2"    
     13.6688        47.5388        129.098       0.701191     "COLLIMATOR_N49"
     13.7628        74.8916        71.0194       0.828116     "S1_PIP03_MS1021
     13.7628        74.8916        71.0194       0.828116     "COLLIMATOR_N50"
     13.8440        103.530        34.6911       0.937854     "S1_PIP03_3"    
     13.8440        103.530        34.6911       0.937854     "COLLIMATOR_N50"
     13.8440        103.530        34.6911       0.937854     "IS1BPM02"      
     13.8440        103.530        34.6911       0.937854     "COLLIMATOR_N51"
     13.8789        117.245        23.0449       0.984969     "S1_PIP03_4"    
     13.8789        117.245        23.0449       0.984969     "COLLIMATOR_N51"
     14.1003        218.156        8.08161        1.32821     "MS1DIP03"      
     14.1003        218.156        8.08161        1.32821     "COLLIMATOR_N52"
     14.1503        246.673        19.9903        1.42365     "S1_PIP04_1"    
     14.1503        246.673        19.9903        1.42365     "COLLIMATOR_N52"
     14.1503        246.673        19.9903        1.42365     "COLLIMATOR_N53"
     14.3503        251.081        156.114        1.47572     "S1_PIP04_MS1022
     14.3503        251.081        156.114        1.47572     "COLLIMATOR_N53"
     14.3503        251.081        156.114        1.47572     "COLLIMATOR_N54"
     14.5061        172.680        415.061        1.25659     "S1_PIP04_2"    
     14.5061        172.680        415.061        1.25659     "COLLIMATOR_N54"
     14.5061        172.680        415.061        1.25659     "COLLIMATOR_N55"
     14.7061        93.4488        929.753       0.975154     "S1_SLI01"      
     14.7061        93.4488        929.753       0.975154     "COLLIMATOR_N55"
     14.7061        93.4488        929.753       0.975154     "COLLIMATOR_N56"
     14.8685        46.8604        1498.49       0.746569     "S1_PIP05_1"    
     14.8685        46.8604        1498.49       0.746569     "COLLIMATOR_N56"
     14.8685        46.8604        1498.49       0.746569     "COLLIMATOR_N57"
     15.0685        23.7353        1493.39       0.637125     "S1_PIP05_MS1023
     15.0685        23.7353        1493.39       0.637125     "COLLIMATOR_N57"
     15.0685        23.7353        1493.39       0.637125     "COLLIMATOR_N58"
     15.0736        23.5767        1473.22       0.638491     "S1_PIP05_2"    
     15.0736        23.5767        1473.22       0.638491     "COLLIMATOR_N58"
     15.0736        23.5767        1473.22       0.638491     "IS1BPM03"      
     15.0736        23.5767        1473.22       0.638491     "COLLIMATOR_N59"
     15.1085        22.5087        1339.22       0.647811     "S1_PIP05_3"    
     15.1085        22.5087        1339.22       0.647811     "COLLIMATOR_N59"
     15.3297        16.4710        492.844       0.660968     "MS1DIP04"      
     15.3297        16.4710        492.844       0.660968     "COLLIMATOR_N60"
     15.4164        14.3059        250.614       0.648408     "S1_PIP06"      
     15.4164        14.3059        250.614       0.648408     "COLLIMATOR_N60"
     15.4164        14.3059        250.614       0.648408     "COLLIMATOR_N61"
     15.6164        9.89626        1.29112       0.619432     "S1_SLI02A"     
     15.6164        9.89626        1.29112       0.619432     "COLLIMATOR_N61"
     15.6164        9.89626        1.29112       0.619432     "S1_MAR_PARALLEL
     15.6164        9.89626        1.29112       0.619432     "S1_MAR_MID"    
     15.6164        9.89626        1.29112       0.619432     "COLLIMATOR_N62"
     15.8164        6.30356        183.830       0.590455     "S1_SLI02B"     
     15.8164        6.30356        183.830       0.590455     "COLLIMATOR_N62"
     15.8164        6.30356        183.830       0.590455     "COLLIMATOR_N63"
     15.8682        5.50632        301.505       0.582951     "S1_PIP07_1"    
     15.8682        5.50632        301.505       0.582951     "COLLIMATOR_N63"
     15.8682        5.50632        301.505       0.582951     "IS1BPM04"      
     15.8682        5.50632        301.505       0.582951     "COLLIMATOR_N64"
     15.9031        5.00011        397.114       0.577895     "S1_PIP07_2"    
     15.9031        5.00011        397.114       0.577895     "COLLIMATOR_N64"
     16.1243        2.42799        1191.16       0.502387     "MS1DIP05"      
     16.1243        2.42799        1191.16       0.502387     "COLLIMATOR_N65"
     16.1643        2.05410        1341.62       0.480110     "S1_PIP08_1"    
     16.1643        2.05410        1341.62       0.480110     "COLLIMATOR_N65"
     16.1643        2.05410        1341.62       0.480110     "COLLIMATOR_N66"
     16.3643        1.33439        1379.15       0.489874     "S1_PIP08_MS1024
     16.3643        1.33439        1379.15       0.489874     "COLLIMATOR_N66"
     16.3643        1.33439        1379.15       0.489874     "COLLIMATOR_N67"
     16.3643        1.33439        1379.15       0.489874     "LINE_1"        
     16.3643        1.33439        1379.15       0.489874     "LINE_2"        
     16.5268        1.44146        860.739       0.596886     "S1_PIP08_2"    
     16.5268        1.44146        860.739       0.596886     "COLLIMATOR_N67"
     16.5268        1.44146        860.739       0.596886     "COLLIMATOR_N68"
     16.7268        1.63141        389.531       0.728642     "S1_SLI03"      
     16.7268        1.63141        389.531       0.728642     "COLLIMATOR_N68"
     16.7268        1.63141        389.531       0.728642     "COLLIMATOR_N69"
     16.8825        1.82372        150.323       0.831228     "S1_PIP09_1"    
     16.8825        1.82372        150.323       0.831228     "COLLIMATOR_N69"
     16.8825        1.82372        150.323       0.831228     "COLLIMATOR_N70"
